Kenya Drug Retention No,Kenya Drug in SBD Version ,Kenya Drug in SCD or PSN Version ,Corresponding RXCUI,,,,,,,
2170,Amdocal Plus 50 (amLODIPine besilate  5 MG / Atenolol 50 MG) Oral Tablet,amLODIPine besilate  5 MG / atenolol  50 MG Oral Tablet ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2170','Amdocal Plus 50 (amLODIPine besilate 5 MG / Atenolol 50 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2170','Amdocal Plus 50 (amLODIPine besilate 5 MG / Atenolol 50 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2170','amLODIPine besilate 5 MG / atenolol 50 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2170','No Corresponding SCD RXCUI')"
5740,Amtas-AT (AmLODIPine besilate 5 MG / Atenolol 50 MG) Oral Tablet,amLODIPine besilate 5 MG / atenolol 50 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5740','Amtas-AT (AmLODIPine besilate 5 MG / Atenolol 50 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5740','Amtas-AT (AmLODIPine besilate 5 MG / Atenolol 50 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5740','amLODIPine besilate 5 MG / atenolol 50 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5740','No Corresponding SCD RXCUI')"
12301,Corither 100 MG Injection Solution ,artemether 100 MG/ML Injection Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI12301','Corither 100 MG Injection Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB12301','Corither 100 MG Injection Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG12301','artemether 100 MG/ML Injection Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE12301','No Corresponding SCD RXCUI')"
2566,Comax DPS (Artemether 15 MG / Lumefantrine 90 MG in 5 ML) Oral Suspension,artemether 15 MG / lumefantrine 90 MG in 5 ML Oral Suspension,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2566','Comax DPS (Artemether 15 MG / Lumefantrine 90 MG in 5 ML) Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2566','Comax DPS (Artemether 15 MG / Lumefantrine 90 MG in 5 ML) Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2566','artemether 15 MG / lumefantrine 90 MG in 5 ML Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2566','No Corresponding SCD RXCUI')"
1165,Lum-Artem (Artemether 15 MG / Lumefantrine 90 MG in 5 ML ) Powder for Oral Suspension,artemether 15 MG / lumefantrine 90 MG in 5 ML Powder for Oral Suspension,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1165','Lum-Artem (Artemether 15 MG / Lumefantrine 90 MG in 5 ML ) Powder for Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1165','Lum-Artem (Artemether 15 MG / Lumefantrine 90 MG in 5 ML ) Powder for Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1165','artemether 15 MG / lumefantrine 90 MG in 5 ML Powder for Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1165','No Corresponding SCD RXCUI')"
10329,Co-Corither (Artemether 180 MG / Lumefantrine 1080 MG in 60 mL) Oral Solution ,artemether 180 MG / lumefantrine 1080 MG in 60 ML Oral Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI10329','Co-Corither (Artemether 180 MG / Lumefantrine 1080 MG in 60 mL) Oral Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB10329','Co-Corither (Artemether 180 MG / Lumefantrine 1080 MG in 60 mL) Oral Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG10329','artemether 180 MG / lumefantrine 1080 MG in 60 ML Oral Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE10329','No Corresponding SCD RXCUI')"
1505,Co-Artesiane (Artemether 180 MG / Lumefantrine 1080 MG in 60 mL) Powder for Oral Suspension,artemether 180 MG / lumefantrine 1080 MG in 60 ML Powder for Oral Suspension,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1505','Co-Artesiane (Artemether 180 MG / Lumefantrine 1080 MG in 60 mL) Powder for Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1505','Co-Artesiane (Artemether 180 MG / Lumefantrine 1080 MG in 60 mL) Powder for Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1505','artemether 180 MG / lumefantrine 1080 MG in 60 ML Powder for Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1505','No Corresponding SCD RXCUI')"
1358,Artefan (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet ,artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1358','Artefan (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1358','Artefan (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1358','artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1358','No Corresponding SCD RXCUI')"
2470,Coartem (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet ,artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI2470','Coartem (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB2470','Coartem (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG2470','artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE2470','No Corresponding SCD RXCUI')"
405,Lonart (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet ,artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI405','Lonart (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB405','Lonart (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG405','artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE405','No Corresponding SCD RXCUI')"
5430,Lufanate (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet ,artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI5430','Lufanate (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB5430','Lufanate (Artemether 20 MG / Lumefantrine 120 MG) Dispersible Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG5430','artemether 20 MG / lumefantrine 120 MG Dispersible Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE5430','No Corresponding SCD RXCUI')"
397,Lonart (Artemether 20 MG / Lumefantrine 120 MG) in 5 ML Oral Suspension,artemether 20 MG / lumefantrine 120 MG in 5 ML Oral Suspension,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI397','Lonart (Artemether 20 MG / Lumefantrine 120 MG) in 5 ML Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB397','Lonart (Artemether 20 MG / Lumefantrine 120 MG) in 5 ML Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG397','artemether 20 MG / lumefantrine 120 MG in 5 ML Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE397','No Corresponding SCD RXCUI')"
1177,Lum-Artem (B-artemether 20 MG / Lumefantrine 120 MG) 20/120 Oral Tablet ,B-artemether 20 MG / lumefantrine 120 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1177','Lum-Artem (B-artemether 20 MG / Lumefantrine 120 MG) 20/120 Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1177','Lum-Artem (B-artemether 20 MG / Lumefantrine 120 MG) 20/120 Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1177','B-artemether 20 MG / lumefantrine 120 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1177','No Corresponding SCD RXCUI')"
470,Gvither-20 MG/ML Solution for Injection ,artemether 20 MG/ML Solution for Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI470','Gvither-20 MG/ML Solution for Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB470','Gvither-20 MG/ML Solution for Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG470','artemether 20 MG/ML Solution for Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE470','No Corresponding SCD RXCUI')"
1445,Artesiane 20 MG/ML Solution for Injection ,artemether 20 MG/ML Solution for Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1445','Artesiane 20 MG/ML Solution for Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1445','Artesiane 20 MG/ML Solution for Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1445','artemether 20 MG/ML Solution for Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1445','No Corresponding SCD RXCUI')"
12227,Artesiane 300 MG in 3 ML Solution for Injection ,artemether 300 MG in 3 ML Solution for Injection ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI12227','Artesiane 300 MG in 3 ML Solution for Injection',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB12227','Artesiane 300 MG in 3 ML Solution for Injection','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG12227','artemether 300 MG in 3 ML Solution for Injection','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE12227','No Corresponding SCD RXCUI')"
12060,Komefan 280 (Artemether 40 MG / Lumefantrine 240 MG) Oral Tablet,artemether 40 MG / lumefantrine 240 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI12060','Komefan 280 (Artemether 40 MG / Lumefantrine 240 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB12060','Komefan 280 (Artemether 40 MG / Lumefantrine 240 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG12060','artemether 40 MG / lumefantrine 240 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE12060','No Corresponding SCD RXCUI')"
464,Gvither-40 MG/ML Injection Solution ,artemether 40 MG/ML Injection Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI464','Gvither-40 MG/ML Injection Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB464','Gvither-40 MG/ML Injection Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG464','artemether 40 MG/ML Injection Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE464','No Corresponding SCD RXCUI')"
718,Larither-40  MG/ML Injection Solution,artemether 40 MG/ML Injection Solution,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI718','Larither-40 MG/ML Injection Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB718','Larither-40 MG/ML Injection Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG718','artemether 40 MG/ML Injection Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE718','No Corresponding SCD RXCUI')"
15615,Artefan (Artemether 60 MG / Lumefantrine 360 MG) Oral Tablet,artemether 60 MG / lumefantrine 360 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15615','Artefan (Artemether 60 MG / Lumefantrine 360 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15615','Artefan (Artemether 60 MG / Lumefantrine 360 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15615','artemether 60 MG / lumefantrine 360 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15615','No Corresponding SCD RXCUI')"
15892,Pro-Fantrine Forte (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet ,artemether 80 MG / lumefantrine 480 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI15892','Pro-Fantrine Forte (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB15892','Pro-Fantrine Forte (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG15892','artemether 80 MG / lumefantrine 480 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE15892','No Corresponding SCD RXCUI')"
13036,Lum-Artem Forte (B-artemether 80 MG / Lumefantrine 480 MG) Oral Tablet ,B-artemether 80 MG / lumefantrine 480 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI13036','Lum-Artem Forte (B-artemether 80 MG / Lumefantrine 480 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB13036','Lum-Artem Forte (B-artemether 80 MG / Lumefantrine 480 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG13036','B-artemether 80 MG / lumefantrine 480 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE13036','No Corresponding SCD RXCUI')"
9414,Shal'artem Forte (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet ,artemether 80 MG / lumefantrine 480 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI9414','Shal'artem Forte (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB9414','Shal'artem Forte (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG9414','artemether 80 MG / lumefantrine 480 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE9414','No Corresponding SCD RXCUI')"
144,Glinther 80 MG/ML Injection Solution ,artemether 80 MG/ML Injection Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI144','Glinther 80 MG/ML Injection Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB144','Glinther 80 MG/ML Injection Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG144','artemether 80 MG/ML Injection Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE144','No Corresponding SCD RXCUI')"
444,Gvither Forte 80 MG/ML Injection Solution ,artemether 80 MG/ML Injection Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI444','Gvither Forte 80 MG/ML Injection Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB444','Gvither Forte 80 MG/ML Injection Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG444','artemether 80 MG/ML Injection Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE444','No Corresponding SCD RXCUI')"
1301,Malgo 80 MG/ML Injection Solution ,artemether 80 MG/ML Injection Solution ,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1301','Malgo 80 MG/ML Injection Solution',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1301','Malgo 80 MG/ML Injection Solution','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1301','artemether 80 MG/ML Injection Solution','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1301','No Corresponding SCD RXCUI')"
1293,Artefan (Artemether 180 MG / Lumefantrine 1080 MG in 60 ML) Oral Suspension,artemether 180 MG / lumefantrine 1080 MG in 60 ML  Oral Suspension,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI1293','Artefan (Artemether 180 MG / Lumefantrine 1080 MG in 60 ML) Oral Suspension',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB1293','Artefan (Artemether 180 MG / Lumefantrine 1080 MG in 60 ML) Oral Suspension','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG1293','artemether 180 MG / lumefantrine 1080 MG in 60 ML Oral Suspension','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE1293','No Corresponding SCD RXCUI')"
11125,Co-Malather Compact (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet,artemether 80 MG / lumefantrine 480 MG Oral Tablet,No Corresponding SCD RXCUI,,," INSERT INTO c_Drug_Brand (brand_name_rxcui, brand_name, is_single_ingredient) VALUES ('KEBI11125','Co-Malather Compact (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet',0) "," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEB11125','Co-Malather Compact (Artemether 80 MG / Lumefantrine 480 MG) Oral Tablet','SBD_KE') ",," INSERT INTO c_Drug_Formulation (form_rxcui, form_descr, form_tty) VALUES ('KEG11125','artemether 80 MG / lumefantrine 480 MG Oral Tablet','SCD_KE') ","insert into c_Drug_Addition (country,country_drug_id, rxcui) values ('ke','KE11125','No Corresponding SCD RXCUI')"
